id,Name,Version,Status,Data of Publication/Release,"Funding Reference/Provenance (academia, industry, hybrid)",Creator/Project,Country / Continent,Open source,Licence,Source Code,Documentation,Access,Access Point,User Target,Research Activities (taxonomy),Domain,Used Models,Conversational LLM,Method appliable,Source Scope,Knowledge Graph Completion / Creation,Knowledge Graph use,Knowledge Base type,KG Technology,Reasoning type,Pattern,Explainability support,Citation mechanism,Hallucination Mitigation Strategy,Bibliography generation,Supported Languages
2,AIDA-Bot,2,completed,2023-01-01,academia,AIDA / University of Cagliari,Italy / Europe,True,CC-BY 4.0,,https://boa.unimib.it/bitstream/10281/447618/1/Meloni-2023-ISWC2023-preprint.pdf,free,http://hrilabdemo.ddns.net/aidabot_v2.html,"researcher,industry R&D","literature discovery,data visalization generation","domain-specific,computer science","Specialized models: BERT and BART: allMiniLM-L6-v2, distilbert-basecased-distilled-squad, sshleifer/distilbart-cnn-12-6",True,prompting only,online,False,True,"""KG standard (Wikidata, OpenAlex, Semantic Scholar)""","""Graph DB specifiche (Neo4j, Bazegraph)""",neuro-symbolic,Graph RAG,True,document-level,,True,
38,Alien-OpenAIRE,1,active,,industry,Alien Intelligence / OpenAIRE,"France, Italy, Greece, Poland / Europe",True,,,https://demo.alien.club/openaire,free,https://demo.alien.club/openaire,"researcher,student","literature discovery,automatic citation,data visalization generation",general-purpose,"Foundation models: Claude: Sonnet 4.6, Opus 4.6, Haiku 4.6",True,,online,False,True,KG proprietario,"""Graph DB specifiche (Neo4j, Bazegraph)""",neuro-symbolic,,True,,,False,
100,Anara,3,completed,2026-04-23,industry,Anara Labs,California / USA,False,,,https://anara.com/changelog,freemium,https://anara.com/,"researcher,student","concept/entity extraction,automatic citation,literature discovery,content generation",domain-specific,Anara 3.0 model (not specified),True,RAG,closed (user-uploaded only),False,False,,,,,True,span/offset-level (location precise),restricted knowledge scope,True,
1,AnswerThis,1,completed,2024-08-01,industry,,USA,False,,,https://guide.answerthis.io/docs/data_privacy/,freemium,https://answerthis.io/,"researcher,student,industry R&D","literature discovery,concept/entity extraction,gap detection,automatic citation",general-purpose,,True,RAG,"online,hybrid (user + curated KBs)",False,False,,,,,False,passage-level,retrieval augmentes,True,
134,Connected Papers,1,completed,2020-06-01,"independent tool,industry",,Israel / Asia,False,,,https://www.connectedpapers.com/about,freemium,https://www.connectedpapers.com/,"industry R&D,librarian/knowledge manager,researcher,student","conceptual mapping,gap detection,data visalization generation",general-purpose,"similarity-based algorithms, NLP, graph-based techniques",False,,hybrid (user + curated KBs),True,False,KG dinamico generato on-the-fly,,,,True,document-level,,True,
136,Consensus,2,completed,2022-01-01,industry,Consensus,California/ USA,False,,,https://consensus.app/home/research-organizations/,freemium,https://consensus.app/,"student,researcher","literature discovery,content generation,gap detection",general-purpose,GPT and embedded powered semantic search,True,"fine tuning,RAG",hybrid (user + curated KBs),False,False,,,,,True,passage-level,restricted knowledge scope,False,
234,CoreGPT,1,completed,2023-01-01,academia,Open University UK and Jisc,UK / Europe,True,CC-BY 4.0,https://github.com/oacore/core-gpt-evaluation,https://arxiv.org/abs/2307.04683,free,https://search.oacore.vercel.app/,"researcher,student","literature discovery,hypothesis generation,content generation,automatic survey",general-purpose,GPT-4,True,fine tuning,online,False,False,,,,,True,document-level,retrieval augmentes,False,
135,Elicit,1,completed,2026-01-01,industry,Ought AI research lab,California / USA,False,,,https://support.elicit.com/en/,freemium,https://elicit.com/,researcher,"research question formulation,literature discovery,gap detection,hypothesis generation,automatic citation",general-purpose,GPT,True,"fine tuning,RAG",hybrid (user + curated KBs),False,False,,,,,True,span/offset-level (location precise),retrieval augmentes,False,
3,InfraNodus,1,completed,2018-01-01,industry,Nodus Labs / InfraNodus SAS,"France, UK / Europe",False,,,https://infranodus.com/#features,commercial,https://infranodus.com/,"industry R&D,researcher","research question formulation,conceptual mapping,gap detection",general-purpose,"GPT, Claude",True,"fine tuning,RAG",closed (user-uploaded only),True,False,,,,Graph RAG,True,document-level,,False,
167,Ivory Mind,1,completed,2026-01-01,industry,Coral AI,India / Asia,False,,,https://www.ivorymind.com/features?utm_medium=cpc&utm_source=google&utm_campaign=21861710310&utm_content=168530015886&utm_term=coral+ai&gc_id=21861710310&h_ga_id=168530015886&h_ad_id=719594390061&h_keyword_id=kwd-880777390226&h_keyword=coral+ai&h_placement=&gad_source=1&gad_campaignid=21861710310&gclid=CjwKCAjwzevPBhBaEiwAplAxvi6Pqq7SimSUkgGqV4JcTcbw4lqs8-VM42NubFyqPpRE-8ixSwI2NRoC4OoQAvD_BwE,freemium,https://www.ivorymind.com/?utm_medium=cpc&utm_source=google&utm_campaign=21861710310&utm_content=168530015886&utm_term=coral+ai&gc_id=21861710310&h_ga_id=168530015886&h_ad_id=719594390061&h_keyword_id=kwd-880777390226&h_keyword=coral+ai&h_placement=&gad_source=1&gad_campaignid=21861710310&gclid=CjwKCAjwzevPBhBaEiwAplAxvi6Pqq7SimSUkgGqV4JcTcbw4lqs8-VM42NubFyqPpRE-8ixSwI2NRoC4OoQAvD_BwE,"researcher,student,industry R&D","conceptual mapping,automatic survey,automatic citation,concept/entity extraction",general-purpose,"GPT, Gemini, 03-mini",True,RAG,closed (user-uploaded only),False,False,,,,,True,passage-level,restricted knowledge scope,False,
